ABC11	ABC-Terminologie des VBS	Terminologie NBC du DDPS	Terminologia NBC del DDPS	ABC Military Terminology DDPS
ALLG14	Punktuelle Einträge	Fiches ponctuelles	Schede puntuali	Ad-hoc entries
ALP94	Terminologie des Güterverkehrs EU-CH	Terminologie du transport de marchandises UE-CH	Terminologia del trasporto di merci UE-CH	Terminologie des Güterverkehrs EU-CH
ALX91	Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
ANG00	Anglizismen	Anglicismes	Anglicismi	Anglicisms
ANG17	Anglizismen	Anglicismes	Anglicismi	Anglicisms
ANM06	Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
API95	Terminologie der Bienenzucht	Terminologie de l'apiculture	Terminologia dell'apicoltura	Beekeeping terminology
ARB10	Terminologie des schweizerischen Arbeitsrechts	Terminologie du droit du travail	Terminologia del diritto di lavoro	Employment Law Terminology
ARB17	Terminologie des schweizerischen Arbeitsrechts	Terminologie du droit du travail	Terminologia del diritto del lavoro	Employment Law Terminology
ARC06	Terminologie der Archivierung	Terminologie de l'archivage	Terminologia dell'archiviazione	Archiving Terminology
ARG06	Einträge in Bearbeitung (M. Argast, VBS)	Fiches en cours d'élaboration (M. Argast, DDPS)	Schede in corso di elaborazione  (M. Argast, VBS)	EN: Einträge in Bearbeitung (M. Argast, VBS)
ARM21	Terminologie der Armee XXI	Terminologie de l'Armée XXI	Terminologia dell'Esercito XXI	EN: Terminologie der Armee XXI
ARM95	Terminologie der Armee 95	Terminologie de l'Armée 95	Terminologia dell'Esercito 95	EN: Terminologie der Armee 95
ASM07	Terminologie der Krankenversicherung	Terminologie de l'assurance-maladie	Terminologia dell'assicurazione malattia	Health Insurance Terminology
ASM09	Gesundheitsgesetzgebung der Staatskanzlei des Kantons Freiburg (Schweiz)	Terminologie de la législation sur la santé de la Chancellerie d'Etat du Canton de Fribourg (Suisse)	IT: Gesundheitsgesetzgebung der Staatskanzlei des Kantons Freiburg (Schweiz)	EN: Gesundheitsgesetzgebung der Staatskanzlei des Kantons Freiburg (Schweiz)
ASY07	Übersetzungsdatei der schweizerischen Bundesverwaltung, Asylwesen (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse, asyle (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale, asilo (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
ASY14	Terminologie des schweizerischen Asylrechts	Terminologie du droit d'asile suisse	Terminologia del diritto d'asilo svizzero	Terminology of Swiss asylum law
ATM99	Terminologie der nuklearen Entsorgung	Terminologie de la gestion des déchets nucléaires	Terminologia della gestione delle scorie nucleari	EN: Terminologie der nuklearen Entsorgung
AUS14	Terminologie des schweizerischen Ausländerrechts	Terminologie du droit des étrangers suisse	Terminologia del diritto degli stranieri svizzero	Terminology of Swiss law on foreign nationals
AUT13	Bezeichnungen der schweizerischen Kantonsbehörden	Dénominations des autorités cantonales suisses 	Denominazioni delle autorità cantonale svizzere	Names of Swiss cantonal authorities
AUT14	Bezeichnungen der schweizerischen Bundesbehörden	Dénominations des autorités fédérales suisses	Denominazioni delle autorità federali svizzere	Names of Swiss federal authorities
AUT15	Bezeichnungen der schweizerischen Bundesbehörden	Dénominations des autorités fédérales suisses	Denominazioni delle autorità federali svizzere	Names of Swiss federal authorities
AUT89v	Frühere Bezeichnungen der Schweizer Behörden	Anciennes dénominations des autorités suisses	Denominazioni precedenti delle autorità svizzere	Former names of Swiss authorities
AUT98	Bezeichnungen der kantonalen Rechtspflegeorgane	Dénominations des autorités judiciaires cantonales	Denominazioni delle autorità giudiziarie cantonali	Names of cantonal judicial authorities
AWG99	Terminologie des Anwaltsgesetzes	Terminologie de la loi sur les avocats	Terminologia della legge sugli avvocati	EN: Terminologie des Anwaltsgesetzes
BABS16	Terminologie des Bevölkerungsschutzes	Terminologie de la protection de la population	Terminologia della protezione della popolazione	Terminologie des Bevölkerungsschutzes
BAG12	Terminologie des BAG 2012	Terminologie de l'OFSP 2012	Terminologie dell'UFSP 2012	Terminologie des BAG 2012
BAU09	Terminologie der Interkantonalen Vereinbarung über die Harmonisierung der Baubegriffe	Terminologie de l'accord intercantonal harmonisant la terminologie dans le domaine des constructions	Terminologia dell'accordo intercantonale sull'armonizzazione dei termini del dominio delle 	Terminology of the Intercantonal Agreement on the harmonisation of construction terms
BAU17	Terminologie des Bauwesens	Terminologie de la construction	Terminologia della costruzione	Terminology of construction
BBE14	Titel der Bundesbeschlüsse des schweizerischen Bundesrechts	Titres des arrêtés fédérals du droit fédéral suisse 	Titoli dei decreti federali del diritto federale svizzero	Titles of federal decrees (Swiss legislation)
BBL07	Terminologie des Immobilienmanagements (SAP RE)	Terminologie de la gestion immobilière (SAP RE)	Terminologia della gestione degli immobili (SAP RE)	Terminology of real estate management (SAP RE)
BBL08	Terminologie des Immobilienmanagements	Terminologie de la gestion immobilière	Terminologia della gestione degli immobili	Terminology of real estate management
BBLCH11	Titel der Erlasse des schweizerischen Bundesrechts (Bundesblatt)	Titres des actes législatifs du droit fédéral suisse (Feuille fédérale)	Titoli degli atti legislativi del diritto federale svizzero (Foglio federale)	Titles of Swiss federal legislation (Federal Gazette) 
BBLFF17	Terminologie des Bundesblattes	Terminologie des Bundesblattes	Terminologie des Bundesblattes	Terminologie des Bundesblattes
BBT02	Berufsbildungsterminologie	Terminologie de la formation professionnelle	Terminologia della formazione professionale	Vocational Education and Training
BDS05	Terminologie der Dämmstoffe	Terminologie des matériaux isolants	Terminologia dei materiali isolanti	Terminology of Insulating Materials
BELA16	Terminologie Behelf Sachbereich Lage	Terminologie Manuel du suivi de la situation	Terminologia Promemoria Analisi della situazione	Terminologie Behelf Sachbereich Lage
BES95	Artenliste Schweizer Säuger und Vögel	Liste des mammifères et des oiseaux en Suisse	Elenco dei mammiferi e degli uccelli in Svizzera	EN: Artenliste Schweizer Säuger und Vögel
BFS13	Terminologie des BFS	Terminologie OFS	Terminologia UFS	Terminology Federal Statistical Office
BLW06	Übersetzungsdatei der schweizerischen Bundesverwaltung, Landwirtschaft (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse, agriculture (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale, agricoltura (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
BMD06	Terminologie der Biomedizin	Terminologie de la biomédecine	Terminologia della biomedicina	EN: Terminologie der Biomedizin
BPG17	Terminologie des Bundespersonalrechts	Terminologie de la législation sur le personnel fédéral	Terminologia della legislazione sul personale federale	Terminology of federal personnel law
BRG97	Terminologie der Richtlinien für die Vorbereitung und Erledigung der Bundesratsgeschäfte	Terminologie des directives sur la préparation et l'exécution des affaires du Conseil fédéral	Terminologia delle direttive per la preparazione e il disbrigo degli affari del Consiglio federale	EN: Terminologie der Richtlinien für die Vorbereitung und Erledigung der Bundesratsgeschäfte
BRT02	Terminologie des Lärmschutzes (BAFU)	Terminologie de la protection contre le bruit (OFEV)	Terminologia dell'inquinamento fonico (UFAM)	Noise abatement terminology (FOEN)
BRT91	Terminologie des schweizerischen Baurechts	Terminologie du droit suisse de la construction	Terminologia del diritto svizzero della costruzione	EN: Terminologie des schweizerischen Baurechts
BSA98	Abrüstungsterminologie (Bundessprachenamt Deutschland)	Terminologie du désarmement (Bundessprachenamt Allemagne)	 Terminologia del disarmo (Bundessprachenamt Germania)	Disarmament Terminology (Bundessprachenamt Germany)
BST91	Börsenterminologie	Terminologie boursière	Terminologia della borsa	EN: Börsenterminologie
BUD09	Terminologie der eidgenössischen Staatsrechnung und des Budgets	Terminologie du compte d'Etat de la Confédération et du budget	Terminologia del consuntivo della Confederazione e del preventivo	EN: Terminologie der eidgenössischen Staatsrechnung und des Budgets
BUD11	Terminologie der eidgenössischen Staatsrechnung und des Budgets	Terminologie du compte d'Etat de la Confédération et du budget	Terminologia del consuntivo della Confederazione e del preventivo	EN: Terminologie der eidgenössischen Staatsrechnung und des Budgets
BVE04	Terminologie der verdeckten Ermittlung 	Terminologie de l'investigation secrète	Terminologia dell'indagine sotto copertura	EN: Terminologie der verdeckten Ermittlung 
BVG17	Terminologie der Gesetzgebung der beruflichen Vorsorge	Terminologie de la législation sur la prévoyance professionnelle	Terminologia della legislazione sulla previdenza professionale	Terminology of the Legislation on Occupational Pension Funds
BZN06	Terminologie des Amts für Sprachangelegenheiten Bozen	Terminologie du Service des affaires linguistiques de Bolzano	Terminologia dell'Ufficio questioni linguistiche Bolzano	Terminology of the Office for Linguistic Affairs Bozen
BZS21	Terminologie des Bevölkerungsschutzes	Terminologie de la protection de la population	Terminologia della protezione della populazione	Terminologie des Bevölkerungsschutzes
CAB17	Terminologie der Seilbahnen	Terminologie des installations à câbles	Terminologia degli impianti a fune	Terminology of the cableways
CAN08	Terminologie der Eidgenössischen Sportschule Magglingen (Kanusport)	Terminologie de l'Ecole fédérale de sport de Macolin (canoë-kayak)	Terminologie der Eidgenössischen Sportschule Magglingen (canoismo)	Terminologie der Eidgenössischen Sportschule Magglingen (Kanusport)
CCT01	Gesamtarbeitsvertrag SRG	Convention collective de travail SSR	Contratto collettivo di lavoro SSR	SBC Collective Employment Contract
CER98	Terminologie des internationalen Getreidehandel-Übereinkommens 1995	Terminologie de l'Accord international sur les céréales de 1995	Terminologia dell'Accordo internazionale sui cereali del 1995	Terminology of the International Grains Agreement 1995
CHA03	Herausforderungen 2003-2007	Challenges 2003-2007	Défis 2003-2007	Sfide 2003-2007
CHI15	Terminologie der Chemikalien	Terminologie des produits chimiques	Terminologia dei prodotti chimici	Terminology of chemicals
CONS13	Terminologie der Vernehmlassungen	Terminologie des procédures de consultation	Terminologia delle procedure di consultazione	Terminology of the consultation procedures
COURS18	Einträge von Kursteilnehmenden	COURS17	COURS17	COURS17
CPC12	Terminologie der neuen schweizerischen Zivilprozessordnung	Terminologie de la nouvelle procédure civile suisse	Terminologia della nuova procedura civile svizzera	Terminology of new Swiss civil procedure
CPP08	Terminologie der schweizerischen Strafprozessordnung	Terminologie de la procédure pénale suisse	Terminologia della procedura penale svizzera	Terminology of Swiss criminal procedure
CRA05	Terminologie der Schweizerischen Asylrekurskommission	Terminologie de la Commission de recours en matière d'asile	Terminologia della Commissione svizzera di ricorso in materia d'asilo	EN: Terminologie der Schweizerischen Asylrekurskommission
CRT06	Terminologie des commissions de terminologie et de néologie, France	Terminology of the French Terminology Commissions (FR, EN)	IT: Terminologie des commissions de terminologie et de néologie, France	EN: Terminologie des commissions de terminologie et de néologie, France
CRT10	Terminologie des commissions de terminologie et de néologie, France (FranceTerme)	Terminology of the French Terminology Commissions (FR, EN)	IT: Terminologie des commissions de terminologie et de néologie, France (FranceTerme)	EN: Terminologie des commissions de terminologie et de néologie, France (FranceTerme)
CST04	Terminologie der Grundrechte	Terminologie des droits fondamentaux	Terminologia dei diritti fondamentali	Terminology of fundamental rights
DDU05	Terminologie der Nachhaltigen Entwicklung, verwandte Gebiete	Terminologie du développement durable, domaines connexes	Terminologia dello sviluppo sostenibile, dominii correlati	 Sustainable Development Terminology, related domains
DDU08	Terminologie der Nachhaltigen Entwicklung	Terminologie du développement durable	Terminologia dello sviluppo sostenibile	 Sustainable Development Terminology
DEC05	Terminologie der Abfallentsorgung (BAFU)	Terminologie de l'élimination des déchets  (OFEV)	Terminologia dello smaltimento dei rifiuti (UFAM)	EN: Terminologie der Abfallentsorgung (BAFU)
DEC08	Terminologie der medizinischen Abfälle	Terminologie des déchets médicaux	Terminologia dei rifiuti sanitari	Terminology of Healthcare Waste
DENDRO18	Dendrochronologie-Glossar	Glossaire de la dendrochronologie	Glossario della dendrocronologia	Glossary of Dendrochronology
DFGP15	Terminologie des Eidgenössisches Justiz- und Polizeidepartements	Terminologie du du Département fédéral de justice et police	Terminologia del Dipartimento federale di giustizia e polizia	Terminology of the Federal Department of Justice and Police
DIP10	Terminologie des internationalen Privatrechts	Terminologie du droit international privé	Terminologia del diritto internazionale privato	Terminology of international private law
DIP17	Terminologie des internationalen Privatrechts	Terminologie du droit international privé	Terminologia del diritto internazionale privato	Terminology of international private law
DIP91	Terminologie des internationalen Privatrechts	Terminologie du droit international privé	Terminologia del diritto internazionale privato	Terminology of international private law
DRU02	Terminologie der Schweizer Drogenpolitik [BAG]	Terminologie de la politique suisse en matière de drogue [OFSP]	Terminologia della politica svizzera in materia di droga [UFSP]	Terminology of Swiss Drugs Policy [FOPH]
DSG96	Terminologie der Gesetzgebung über den Datenschutz	Terminologie de la législation sur la protection des données	Terminologia legislativa della protezione dei dati	Terminology of data protection legislation
EDU00	Terminologie des Bildungswesens, Bund und Kantone	Terminologie de l'éducation, niveau fédéral et cantonal	Terminologia del sistema educativo	Education terminology, federal and cantonal level
EDU07	Terminologie des Bildungswesens, Kanton Tessin	Terminologie de l'éducation, Canton de Tessin	Terminologia del sistema educativo, Cantone Ticino	EN: Terminologie des Bildungswesens, Kanton Tessin
EGA93	Terminologie der Gleichstellung von Frau und Mann	Terminologie de l'égalité entre femmes et hommes	Terminologia sulla parità dei sessi	Gender equality terminology
EGOV16	E-Government-Terminologie	Terminologie de la cyberadministration	Terminologia del governo elettronico	E-Government-Terminology
EGR92	Titel der EU-Richtlinien bis 1992	Titres des directives UE jusqu'en 1992	Titoli delle direttive UE fino al 1992	Titles of EU directives up to 1992
EGV04	E-Government-Terminologie	Terminologie de la cyberadministration	Terminologia del governo elettronico	E-Government-Terminology
EHE91	Terminologie des schweizerischen Ehegüterrechts, Stand 1991	Terminologie du régime matrimonial suisse, état 1991	Terminologia del regime matrimoniale svizzero, stato 2016	Swiss marital property terminology, status 1991
ENL13	Terminologie Recht und Umwelt	ENL13	Terminologia diritto e ambiente	Environmental law terminology
ENR11	Energieglossar	Glossaire de l'énergie 	Glossario sull'energia 	Energy glossary
ENR99	Terminologie der erneuerbaren Energien	Terminologie des énergies renouvelables	Terminologia delle energie rinnovabili	EN: Terminologie der erneuerbaren Energien
ENV98	BAFU, Altlasten-Glossar, 1995	OFEV, Glossaire des sites contaminés, 1995	UFAM, Glossario dei siti contaminati, 1995	FOEN, Glossary of contaminated sites, 1995
ERB12	Terminologie des Erbrechts	Terminologie du droit des successions	Terminologia del diritto successorio	Succession law terminology
ERS06	Einträge in Bearbeitung (Stefanie Eichenberger - GS VBS)	Fiches en cours d'élaboration (S. Eichenberger - SG-DDPS)	Schede in corso di elaborazione (S. Eichenberger - SG-DDPS)	Working entries (S. Eichenberger - GS-DDPS)
EVG97	Terminologie des Eidgenössischen Versicherungsgerichts	Terminologie du Tribunal fédéral des assurances	Terminologia del Tribunale federale delle assicurazioni	Terminology of the Federal Insurance Court
EWB17	Eidgenössisches Wörterbüchlein 	Petit dictionnaire fédéral	Dizionarietto federale 	Federal Dictionary 
FAD90	Funktionen in der schweizerischen Bundesverwaltung	Fonctions dans l'Administration fédérale suisse	Funzioni nell'Amministrazione federale svizzera	Jobs in the Swiss Federal Administration
FAM95	Terminologie der Milchwirtschaft	Terminologie d'économie laitière	Terminologia dell'economia lattiera	EN: Terminologie der Milchwirtschaft
FAMI14	Terminologie des Schweizerischen Zivilgesetzbuches (Familienrecht)	Terminologie du Code civil suisse (droit de la famille)	Terminologia del Codice civile svizzero (diritto di famiglia)	Swiss Civil Code terminology (Family Law)
FAU02	Terminologie der Fauna (BAFU)	Terminologie de la faune (OFEV)	Terminologia della fauna (UFAM)	Fauna terminology (FOEN)
FAZ10	Terminologie der Familienzulagen	Terminologie des allocations familiales	Terminologia degli assegni familiari	EN: Terminologie der Familienzulagen
FBM92	Terminologie der Berufsmatura	Terminologie de la maturité professionnelle	Terminologia della maturità professionale	Vocational Baccalaureate Terminology
FDU92	Übersetzungsdatei	Fichier de traduction	Schedario personale di traduzione	Translation file
FFO05	Einträge in Bearbeitung (F. Fomasi, Bundeskanzlei)	Fiches en cours d'élaboration (F. Fomasi, Chancellerie fédérale)	Schede in corso di elaborazione (F. Fomasi, Cancelleria federale)	Working entries (F. Fomasi, Federal Chancellery)
FIF13	Terminologie der Forschungs- und Innovationsförderung 	Terminologie en relation avec la promotion de la recherche et de l’innovation	Terminologia relativa alla promozione della ricerca e dell’innovazione	Terminology of research and innovation promotion
FMA16	Terminologie der Finanzmarktaufsicht	Terminologie de la surveillance des marchés financiers	Terminologia della vigilanza sui mercati finanziari	Terminology of the Financial Market Supervision
FMAUF17	Terminologie der Fernmeldegesetzgebung (aufgehobene Erlasse)	Terminologie de la législation sur les télécommunications (actes législatifs abrogés)	Terminologia della legislazione sulle telecomunicazioni (atti normativi abrogati)	Terminology of telecommunications legislation (repealed enactments)
FMG17	Terminologie der Fernmeldegesetzgebung	Terminologie de la législation sur les télécommunications	Terminologia della legislazione sulle telecomunicazioni	Terminology of telecommunications legislation
FNS06	Terminologie des Schweizerischen Nationalfonds	Terminologie du Fonds national suisse	Terminologia del Fondo nazionale svizzero	Terminology of the Swiss National Science Foundation 
FOND15	Grundbegriffe des Rechts	Notions fondamentales du droit	Concetti fondamentali del diritto	Grundbegriffe des Rechts
FOR18	Forstterminologie	Terminologie forestière	Terminologia forestale	Forestry terminology
FOR99	Forstterminologie	Terminologie forestière	Terminologia forestale	Forestry terminology
FRAPA17	Paul Frank's working entries	Paul Frank's working entries	Paul Frank's working entries	Paul Frank's working entries
GDS06	Terminologie der Geodäsie	Terminologie de la géodésie	Terminologia della geodesia	Geodesy terminology
GEA05	Punktuelle Einträge (Sektion Terminologie der Bundeskanzlei)	Fiches ponctuelles (Section de terminologie de la Chancellerie fédérale)	Schede puntuali (Sezione di terminologia della Cancelleria federale)	Ad-hoc entries (Sektion Terminologie der Bundeskanzlei)
GEN03	Terminologie der Gesetzgebung über die medizinisch unterstützte Fortpflanzung	Terminologie de la législation sur la procréation médicalement assistée 	Terminologia della legislazione concernente la procreazione con assistenza medica	EN: Terminologie der Gesetzgebung über die medizinisch unterstützte Fortpflanzung
GEN09	Terminologie der genetisch veränderten Lebensmittel	Terminologie des denrées alimentaires génétiquement modifiés	Genetically modified food terminology (DE, FR, EN)	EN: Terminologie der genetisch veränderten Lebensmittel
GEN96	Terminologie der Gesetzgebung über die medizinisch unterstützte Fortpflanzung	Terminologie de la législation sur la procréation médicalement assistée	Terminologia della legislazione concernente la procreazione con assistenza medica	EN: Terminologie der Gesetzgebung über die medizinisch unterstützte Fortpflanzung
GEO07	Terminologie der Geologie	Terminologie de la géologie	Terminologia della geologia	Geology terminology
GEO08	Terminologie der Geologie	Terminologie de la géologie	Terminologia della geologia	Geology terminology
GEO09	Terminologie der Geologie	Terminologie de la géologie	Terminologia della geologia	Geology terminology
GEV09	GEVER Terminologie	Terminologie GEVER	Terminologia GEVER	GEVER Terminology
GEV12	GEVER System	Système GEVER	Sistema GEVER	GEVER System
GEW10	Terminologie des Gewässerschutzes (Kanton Freiburg)	Terminologie de la protection des eaux (Canton de Fribourg)	Terminologia della protezione delle acque (Cantone di Friburgo)	EN: Terminologie des Gewässerschutzes (Kanton Freiburg)
GRF16	Grundbuch-Terminologie	Terminologie du registre foncier	Terminologia del registro fondiario	Land register terminology
GRG05	Einträge in Bearbeitung (S. Gregorio, Sektion Terminologie der Bundeskanzlei)	Fiches en cours d'élaboration (S. Gregorio, Section de terminologie de la Chancellerie fédérale)	Schede in corso di elaborazione (S. Gregorio, Sezione di terminologia della Cancelleria federale)	EN: Einträge in Bearbeitung (S. Gregorio, Sektion Terminologie der Bundeskanzlei)
GRG10	Terminologie des Grossratsgesetzes des Kantons Freiburg 	FR: GRG10	Terminologia della Legge sul Gran Consiglio del Cantone Friburgo	EN: GRG10
GRI10	Terminologie der übertragbaren Krankheiten 	Terminologie des maladies transmissibles	Terminologia delle malattie trasmissibili	Terminologie der übertragbaren Krankheiten 
GRM06	Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
GSVBS17	Terminologie des GS-VBS	Terminologie du SG-DDPS	Terminologia del SG-DDPS	GS-DDPS Terminology
GTG10	Terminologie der Gentechnik im ausserhumanen Bereich	Terminologie du génie génétique dans le domaine non humain	Terminologia dell'ingegneria genetica nel settore non umano	Terminology of non-human gene technology
GVK05	Terminologie des Gesamtverkehrs	Terminologie des transports	Terminologia dei trasporti	Terminology of the Transports
GWG15	Terminologie der Geldwäscherei (inkl. FATF-Empfehlungen)	Terminologie du blanchiment d'argent (Recommandations du GAFI incluses)	Terminologia del riciclaggio di denaro (incl. Raccomandazioni GAFI)	Money Laundering Terminology (including FATF Recommendations)
GWS01	Gewässerschutz	Protection des eaux	Protezione delle acque	Water Protection
HER14	HERMES 5 Terminologie	Terminologie HERMES 5	Terminologia HERMES 5	HERMES 5 Terminology
HES04	Terminologie der Fachhochschulen	Terminologie des hautes écoles spécialisées	Terminologia delle scuole universitarie professionali	EN: Terminologie der Fachhochschulen
HES94	Terminologie der Fachhochschulen	Terminologie des hautes écoles spécialisées	Terminologia delle scuole universitarie professionali	EN: Terminologie der Fachhochschulen
HLZ11	Forstwirtschaft und Umwelt	Sylviculture et environnement	Selvicoltura e ambiente	EN: Forstwirtschaft und Umwelt
HOCHB16	Terminologie der Bauwerksdokumentation im Hochbau	Terminologie der Bauwerksdokumentation im Hochbau	Terminologie der Bauwerksdokumentation im Hochbau	Terminologie der Bauwerksdokumentation im Hochbau
IFD96	Terminologie der direkten Bundessteuer	Terminologie de l'impôt fédéral direct	Terminologia dell'imposta federale diretta	Terminology of direct federal taxation
IFS15	Glossar Inventar der Fundmünzen der Schweiz (IFS)	Glossaire Inventaire des trouvailles monétaires suisses (ITMS)	Glossario Inventario dei ritrovamenti monetali svizzeri (IRMS)	Glossary Swiss Inventory of Coin Finds (SICF)
INI19	Titel der eidgenössischen Volksinitiativen	Titres des initiatives populaires fédérales	Titoli delle iniziative popolari federali	Titles of popular initiatives
IRS17	Terminologie der internationalen Rechtshilfe in Strafsachen	Terminologie de l'entraide judiciaire internationale en matière pénale	Terminologia dell'assistenza giudiziaria internazionale in materia penale	Terminology of International Mutual Assistance in Criminal Matters
ISB02	Informatik-Terminologie der Bundesverwaltung	Terminologie informatique de l'Administration fédérale	Terminologia informatica dell'Amministrazione federale	Federal Administration IT terminology
ISB04	Informatik-Terminologie der Bundesverwaltung	Terminologie informatique de l'Administration fédérale	Terminologia informatica dell'Amministrazione federale	Federal Administration IT terminology
ITA08	Dreisprachige Übersetzungsdatei der schweizerischen Bundesverwaltung (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif trilingue des traducteurs de l'administration fédérale suisse, droit (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
JUR06	Übersetzungsdatei der schweizerischen Bundesverwaltung, Recht (1991-2004, frühere Datenbank ALEXIS)	Fichier collectif des traducteurs de l'administration fédérale suisse, droit (1991 - 2004, ALEXIS)	File di traduzione dell'Amministrazione federale, diritto (1991-2004, vecchia banca dati ALEXIS)	Translators of the Federal Administration (File ALEXIS, 1991-2004)
KAR07	Terminologie der Kartografie	Terminologie de la cartographie	Terminologia della cartografia	Cartography terminology
KAR98	Terminologie des Kartellrechts	Terminologie de la législation sur les cartels	Terminologia della legislazione sui cartelli	EN: Terminologie des Kartellrechts
KAUF16	Terminologie des Kaufvertrags	Terminologie des Kaufvertrags	Terminologie des Kaufvertrags	Terminologie des Kaufvertrags
KAV12	Terminologie der Projekte Modernisierung KAV-Systeme	Terminologie des projets Modernisation du Centre des publications officielles	Terminologia dei Progetti di modernizzazione del Centro delle pubblicazioni ufficiali 	Terminology on Projects for the Modernisation of the Official Publications Centre
KDK10	Konferenz der Kantonsregierungen	FR: KDK10	Conferenza dei governi cantonali	EN: KDK10
KGS06	Terminologie der Koordinationsstelle für Geoinformationen und geografische Informationssysteme	Terminologie de la Coordination de l'information géographique et des systèmes d'information géographiques	Terminologia della Coordinazione dell'informazione geografica e dei sistemi informativi territoriali	Terminology of the Federal Coordination Centre for Geographical Information
